Rk,Name,Position,Age,Team,Games,GS,MinutesPlayed,FG,FGA,3P,3PA,2P,2PA,FT,FTA,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PTS
208,Tyrese Haliburton,SG,21,SAC,51,51,34.5,5.3,11.5,2.0,4.9,3.2,6.5,1.7,2.0,0.8,3.1,7.4,1.7,0.7,2.3,1.4,14.3
208,Tyrese Haliburton,PG,21,IND,4,4,38.8,7.0,14.5,3.5,7.8,3.5,6.8,3.3,4.0,0.3,4.0,11.0,2.3,0.0,3.5,2.0,20.8
210,R.J. Hampton,SG,20,ORL,42,1,19.4,2.5,6.7,0.9,2.5,1.6,4.1,1.1,1.9,0.3,2.6,2.4,0.7,0.2,1.3,1.5,7.2
211,Tim Hardaway Jr.,SG,29,DAL,42,20,29.6,5.0,12.6,2.4,7.2,2.5,5.4,1.9,2.5,0.3,3.4,2.2,0.9,0.1,0.8,1.8,14.2
212,James Harden,PG,32,BRK,44,44,37.0,6.6,16.0,2.3,7.0,4.3,9.1,6.9,8.0,1.0,7.0,10.2,1.3,0.7,4.8,2.4,22.5
213,Maurice Harkless,SF,28,SAC,41,22,19.9,1.9,4.2,0.7,2.4,1.2,1.9,0.5,0.7,0.3,2.3,0.5,0.7,0.6,0.7,1.7,5.1
215,Montrezl Harrell,C,28,WAS,46,3,24.3,5.4,8.3,0.1,0.3,5.3,8.0,3.2,4.5,2.1,4.6,2.1,0.4,0.7,1.1,1.9,14.1
216,Gary Harris,SG,27,ORL,52,30,29.4,4.1,9.4,1.9,5.0,2.3,4.4,1.3,1.5,0.6,1.5,1.9,0.9,0.2,1.1,1.9,11.4
217,Joe Harris,SF,30,BRK,14,14,30.2,4.0,8.9,2.9,6.3,1.1,2.6,0.4,0.4,0.4,3.6,1.0,0.5,0.1,1.1,2.2,11.3
218,Tobias Harris,PF,29,PHI,48,48,35.2,7.3,14.9,1.2,3.4,6.1,11.6,3.0,3.5,1.1,6.2,3.6,0.6,0.7,1.8,2.1,18.6
220,Josh Hart,PF,26,NOP,41,40,33.5,4.8,9.4,1.0,3.2,3.7,6.2,2.8,3.8,1.3,6.5,4.1,1.1,0.3,2.0,2.9,13.4
221,Isaiah Hartenstein,C,23,LAC,46,0,15.9,3.0,4.9,0.1,0.2,3.0,4.8,1.1,1.7,1.5,2.8,1.8,0.7,1.0,1.1,2.4,7.3
222,Udonis Haslem,C,41,MIA,9,0,6.3,1.2,2.4,0.1,0.2,1.1,2.2,0.3,0.3,0.4,1.6,0.3,0.1,0.1,0.3,1.2,2.9
223,Sam Hauser,SF,24,BOS,11,0,4.9,0.6,1.7,0.6,1.7,0.0,0.0,0.0,0.0,0.1,0.5,0.4,0.1,0.1,0.0,0.4,1.9
224,Jaxson Hayes,C,21,NOP,46,4,16.8,3.2,5.0,0.2,0.6,3.1,4.4,1.9,2.5,1.4,2.5,0.5,0.4,0.7,0.7,2.3,8.5
